area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk,availability_status,possession_year,location_reduced,has_society,is_cramped,is_luxury_price,price_segment,location_tier,area_type_rank,bath_per_bhk,is_luxury_bath,log_price,log_total_sqft,availability_month,society_size_proxy,society_type
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Independent,1100,2.0,2.0,48.0,2.0,1100.0,4363.636363636364,550.0,Ready,0,other,0,0,0,Budget,Tier 3,1,1.0,0,3.8918202981106265,7.00397413672268,Unknown,5469,Large
Built-up  Area,Ready To Move,Kengeri,1 BHK,Independent,600,1.0,1.0,15.0,1.0,600.0,2500.0,600.0,Ready,0,Kengeri,0,0,0,Budget,Tier 3,0,1.0,0,2.772588722239781,6.398594934535208,Unknown,5469,Large
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,3.0,1755.0,6951.5669515669515,585.0,Future,2019,Binny Pete,1,0,0,Premium,Tier 2,1,1.0,0,4.812184355372417,7.470793774195062,Dec,10,Small
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,4.0,2800.0,13571.42857142857,700.0,Ready,0,Thanisandra,1,0,1,Ultra-Luxury,Tier 2,3,1.25,1,5.942799375126701,7.937731775260109,Unknown,35,Medium
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Independent,1767,3.0,1.0,103.0,3.0,1767.0,5829.088851160159,589.0,Ready,0,Bellandur,0,0,0,Premium,Tier 2,1,1.0,0,4.6443908991413725,7.477604243197589,Unknown,5469,Large
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,1.0,510.0,4950.980392156863,510.0,Future,2018,other,1,0,0,Budget,Tier 2,1,1.0,0,3.2676659890376327,6.236369590203704,Nov,35,Medium
Super built-up  Area,18-May,Mangammanapalya,3 BHK,Independent,1250,3.0,2.0,56.0,3.0,1250.0,4480.0,416.6666666666667,Future,2018,other,0,0,0,Mid-Range,Tier 3,1,1.0,0,4.04305126783455,7.1316985104669115,May,5469,Large
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,2.0,660.0,3500.0,330.0,Ready,0,Electronic City,1,0,0,Budget,Tier 3,1,0.5,0,3.1822118404966093,6.493753839851686,Unknown,24,Medium
Built-up  Area,20-Dec,Whitefield,3 BHK,Independent,1610,3.0,2.0,81.0,3.0,1610.0,5031.055900621118,536.6666666666666,Future,2020,Whitefield,0,0,0,Mid-Range,Tier 2,0,1.0,0,4.406719247264253,7.384610383176974,Dec,5469,Large
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,2.0,1151.0,4237.185056472633,575.5,Future,2017,Ramagondanahalli,1,0,0,Budget,Tier 2,1,1.0,0,3.9074123928704627,7.049254841255837,Oct,23,Medium
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,3.0,1025.0,4585.365853658536,341.6666666666667,Ready,0,Electronic City,1,0,0,Budget,Tier 3,1,0.6666666666666666,0,3.871201010907891,6.933423025730715,Unknown,4,Small
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,4.0,2475.0,7515.151515151515,618.75,Future,2019,Yelahanka,1,0,1,Premium,Tier 2,1,1.0,0,5.231108616854587,7.814399633804487,Dec,5,Small
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,3.0,1075.0,3255.813953488372,358.3333333333333,Ready,0,Bisuvanahalli,1,0,0,Budget,Tier 3,1,0.6666666666666666,0,3.58351893845611,6.98100574072173,Unknown,50,Medium
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,3.0,1760.0,6988.636363636364,586.6666666666666,Ready,0,Hebbal,1,0,0,Premium,Tier 2,1,0.6666666666666666,0,4.820281565605037,7.473637108496206,Unknown,14,Medium
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,3.0,1693.0,3389.84051978736,564.3333333333334,Ready,0,Raja Rajeshwari Nagar,1,0,0,Mid-Range,Tier 3,1,1.0,0,4.067144642295446,7.434847875211999,Unknown,80,Large
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,0.0,125.0,3.0,1925.0,6493.506493506494,641.6666666666666,Ready,0,Kasturi Nagar,1,0,0,Premium,Tier 2,0,1.0,0,4.836281906951478,7.563200592358071,Unknown,1,Small
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,2.0,700.0,5142.857142857143,350.0,Future,2021,Kanakpura Road,1,0,0,Budget,Tier 2,1,1.0,0,3.6109179126442243,6.55250788703459,Dec,76,Large
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Independent,1070,2.0,1.0,45.5,2.0,1070.0,4252.336448598131,535.0,Ready,0,Electronics City Phase 1,0,0,0,Budget,Tier 3,1,1.0,0,3.8394523125933104,6.976348070447749,Unknown,5469,Large
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,3.0,1724.0,7250.580046403712,574.6666666666666,Ready,0,Kundalahalli,1,0,0,Premium,Tier 2,1,1.0,0,4.836281906951478,7.45298232946546,Unknown,24,Medium
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Independent,1290,2.0,2.0,56.12,3.0,1290.0,4350.387596899225,430.0,Ready,0,Chikkalasandra,0,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.0451543180313285,7.1631723908466425,Unknown,5469,Large
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Independent,1143,2.0,2.0,45.0,2.0,1143.0,3937.0078740157483,571.5,Ready,0,Uttarahalli,0,0,0,Budget,Tier 2,0,1.0,0,3.828641396489095,7.042286171939743,Unknown,5469,Large
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,0.0,81.0,2.0,1296.0,6250.0,648.0,Ready,0,Murugeshpalya,1,0,0,Mid-Range,Tier 2,0,1.0,0,4.406719247264253,7.167809184316444,Unknown,1,Small
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,3.0,1254.0,3030.3030303030305,418.0,Future,2019,Sarjapur  Road,1,0,0,Budget,Tier 1,1,1.0,0,3.6635616461296463,7.134890851565884,Dec,2,Small
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,1.0,600.0,6333.333333333333,600.0,Ready,0,other,1,0,0,Budget,Tier 2,1,1.0,0,3.6635616461296463,6.398594934535208,Unknown,1,Small
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Independent,660,1.0,0.0,48.0,1.0,660.0,7272.727272727273,660.0,Ready,0,Yelahanka,0,0,0,Budget,Tier 2,3,1.0,0,3.8918202981106265,6.493753839851686,Unknown,5469,Large
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2.0,1330.74,6897.665960292769,665.37,Future,2019,Kanakpura Road,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.530338875365088,7.194241636852078,Sep,24,Medium
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,Independent,600,9.0,0.0,200.0,8.0,600.0,33333.333333333336,75.0,Ready,0,HSR Layout,0,1,1,Ultra-Luxury,Tier 2,3,1.125,1,5.303304908059076,6.398594934535208,Unknown,5469,Large
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2.0,970.0,3402.061855670103,485.0,Ready,0,Doddathoguru,1,0,0,Budget,Tier 3,1,1.0,0,3.5263605246161616,6.878326468291325,Unknown,1,Small
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2.0,1459.0,6498.971898560658,729.5,Future,2020,Whitefield,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.562471431454976,7.286191714702382,Sep,11,Medium
Plot  Area,Ready To Move,KR Puram,2 Bedroom,Independent,800,1.0,1.0,130.0,2.0,800.0,16250.0,400.0,Ready,0,KR Puram,0,0,1,Premium,Tier 2,3,0.5,0,4.875197323201151,6.68586094706836,Unknown,5469,Large
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Independent,869,2.0,1.0,36.0,2.0,869.0,4142.692750287687,434.5,Ready,0,other,0,0,0,Budget,Tier 1,0,1.0,0,3.6109179126442243,6.76849321164863,Unknown,5469,Large
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2.0,1270.0,3937.0078740157483,635.0,Ready,0,other,1,0,0,Mid-Range,Tier 3,1,1.0,0,3.9318256327243257,7.147559271189454,Unknown,1,Small
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,3.0,1670.0,5928.143712574851,556.6666666666666,Future,2018,Bhoganhalli,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.605170185988092,7.421177528595393,Mar,35,Medium
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3.0,2010.0,4527.363184079602,670.0,Ready,0,Whitefield,1,0,0,Mid-Range,Tier 2,0,1.0,0,4.5217885770490405,7.606387389772652,Unknown,3,Small
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,2.0,1185.0,6329.113924050633,592.5,Ready,0,Lakshminarayana Pura,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.330733340286331,7.078341579557671,Unknown,27,Medium
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3.0,1600.0,4687.5,533.3333333333334,Ready,0,Yelahanka,1,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.330733340286331,7.3783837129967145,Unknown,6,Small
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2.0,1200.0,3666.6666666666665,600.0,Ready,0,Begur Road,1,0,0,Budget,Tier 3,1,1.0,0,3.8066624897703196,7.0909098220799835,Unknown,47,Medium
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,4.0,0.0,192.0,4.0,3210.0,5981.308411214954,802.5,Future,2020,Devanahalli,1,0,0,Premium,Tier 2,0,1.0,0,5.262690188904886,8.074337694089515,Feb,1,Small
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2.0,1500.0,12333.333333333334,750.0,Ready,0,other,1,0,1,Premium,Tier 1,1,1.0,0,5.225746673713202,7.313886831633462,Unknown,4,Small
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,Independent,1407,4.0,1.0,150.0,6.0,1407.0,10660.980810234541,234.5,Ready,0,Murugeshpalya,0,1,1,Premium,Tier 2,3,0.6666666666666666,0,5.017279836814924,7.249925536717988,Unknown,5469,Large
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Independent,840,2.0,2.0,45.0,2.0,840.0,5357.142857142857,420.0,Ready,0,other,0,0,0,Budget,Tier 1,1,1.0,0,3.828641396489095,6.734591659972948,Unknown,5469,Large
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Independent,4395,3.0,2.0,240.0,3.0,4395.0,5460.750853242321,1465.0,Ready,0,other,0,0,0,Ultra-Luxury,Tier 2,3,1.0,0,5.484796933490655,8.388450315523512,Unknown,5469,Large
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2.0,845.0,6508.87573964497,422.5,Ready,0,other,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.02535169073515,6.740519359606223,Unknown,1,Small
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4.0,5700.0,11403.508771929824,1425.0,Ready,0,Whitefield,1,0,1,Ultra-Luxury,Tier 2,3,1.25,1,6.478509642208569,8.648396877031582,Unknown,2,Small
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2.0,1160.0,3793.103448275862,580.0,Ready,0,Varthur,1,0,0,Budget,Tier 2,0,1.0,0,3.8066624897703196,7.057036981697891,Unknown,2,Small
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,Independent,3000,8.0,0.0,140.0,8.0,3000.0,4666.666666666667,375.0,Ready,0,Bommanahalli,0,0,0,Premium,Tier 3,0,1.0,0,4.948759890378168,8.006700845440367,Unknown,5469,Large
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Independent,1100,2.0,1.0,62.0,2.0,1100.0,5636.363636363636,550.0,Ready,0,Doddathoguru,0,0,0,Mid-Range,Tier 3,1,1.0,0,4.143134726391533,7.00397413672268,Unknown,5469,Large
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2.0,1140.0,3771.9298245614036,570.0,Future,2018,Gunjur,1,0,0,Budget,Tier 3,1,1.0,0,3.784189633918261,7.039660349862076,Apr,4,Small
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Independent,1220,2.0,1.0,57.0,2.0,1220.0,4672.131147540984,610.0,Ready,0,Marathahalli,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.060443010546419,7.107425474110705,Unknown,5469,Large
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Independent,1350,7.0,0.0,85.0,8.0,1350.0,6296.2962962962965,168.75,Ready,0,other,0,1,0,Mid-Range,Tier 2,3,0.875,0,4.454347296253507,7.208600337960199,Unknown,5469,Large
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Independent,1005,2.0,1.0,36.68,2.0,1005.0,3649.7512437810947,502.5,Ready,0,Kanakpura Road,0,0,0,Budget,Tier 2,1,1.0,0,3.629129449708162,6.913737350659685,Unknown,5469,Large
Plot  Area,Ready To Move,Double Road,3 Bedroom,Independent,500,3.0,2.0,100.0,3.0,500.0,20000.0,166.66666666666666,Ready,0,other,0,1,1,Premium,Tier 1,3,1.0,0,4.61512051684126,6.2166061010848646,Unknown,5469,Large
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2.0,1358.0,5933.726067746687,679.0,Future,2020,Begur Road,1,0,0,Mid-Range,Tier 3,1,1.0,0,4.401584133889412,7.214504414151143,Aug,12,Medium
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3.0,1569.0,6437.221159974506,523.0,Ready,0,Hegde Nagar,1,0,0,Premium,Tier 2,1,1.0,0,4.624972813284271,7.358830898342354,Unknown,5,Small
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2.0,1240.0,5645.1612903225805,620.0,Future,2018,Haralur Road,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.2626798770413155,7.123672785204607,Apr,33,Medium
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3.0,2089.0,6701.771182383915,696.3333333333334,Ready,0,Hennur Road,1,0,0,Premium,Tier 2,1,1.0,0,4.948759890378168,7.644919344958857,Unknown,1,Small
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Independent,1206,2.0,1.0,48.23,2.0,1206.0,3999.1708126036483,603.0,Ready,0,Kothannur,0,0,0,Budget,Tier 2,1,1.0,0,3.8965031937701093,7.095893221097532,Unknown,5469,Large
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Independent,1150,2.0,3.0,40.0,2.0,1150.0,3478.2608695652175,575.0,Ready,0,Kalena Agrahara,0,0,0,Budget,Tier 2,1,1.0,0,3.713572066704308,7.048386408721883,Unknown,5469,Large
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3.0,2511.0,8164.078056551175,837.0,Ready,0,other,1,0,1,Ultra-Luxury,Tier 1,0,1.0,0,5.327876168789581,7.828834527588089,Unknown,1,Small
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Independent,460,1.0,0.0,22.0,2.0,460.0,4782.608695652174,230.0,Ready,0,Kaval Byrasandra,0,1,0,Budget,Tier 2,0,0.5,0,3.1354942159291497,6.133398042996649,Unknown,5469,Large
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,Independent,4400,6.0,3.0,250.0,6.0,4400.0,5681.818181818182,733.3333333333334,Ready,0,ISRO Layout,0,0,0,Ultra-Luxury,Tier 2,0,1.0,0,5.5254529391317835,8.38958706681109,Unknown,5469,Large
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,3.0,1660.0,6325.301204819277,553.3333333333334,Ready,0,other,1,0,0,Premium,Tier 2,1,0.6666666666666666,0,4.663439094112067,7.415175109613295,Unknown,1,Small
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,4.0,0.0,224.5,4.0,3203.5,7007.960043702201,800.875,Future,2018,Hennur Road,1,0,0,Ultra-Luxury,Tier 2,0,1.0,0,5.418320158942733,8.07231135094428,Oct,3,Small
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2.0,1326.0,5882.35294117647,663.0,Future,2019,Yelahanka,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.3694478524670215,7.190676034332207,Mar,12,Medium
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Independent,1325,2.0,2.0,60.8,3.0,1325.0,4588.679245283019,441.6666666666667,Ready,0,Garudachar Palya,0,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.123903364463645,7.189922170745808,Unknown,5469,Large
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3.0,1499.0,6804.536357571715,499.6666666666667,Ready,0,EPIP Zone,1,0,0,Premium,Tier 2,1,1.6666666666666667,1,4.634728988229636,7.313220387090301,Unknown,2,Small
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Independent,3000,7.0,2.0,210.0,6.0,3000.0,7000.0,500.0,Ready,0,Hegde Nagar,0,0,0,Ultra-Luxury,Tier 2,0,1.1666666666666667,1,5.351858133476067,8.006700845440367,Unknown,5469,Large
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Independent,1665,3.0,2.0,88.0,3.0,1665.0,5285.285285285286,555.0,Ready,0,Kanakpura Road,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.48863636973214,7.418180822726788,Unknown,5469,Large
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2.0,708.0,5225.988700564972,354.0,Future,2017,Dasanapura,1,0,0,Budget,Tier 2,1,1.0,0,3.6375861597263857,6.5638555265321274,Sep,14,Medium
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2.0,1060.0,5477.358490566037,530.0,Ready,0,Kasavanhalli,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.078553876315777,6.966967138613983,Unknown,3,Small
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Independent,710,6.0,3.0,160.0,6.0,710.0,22535.211267605635,118.33333333333333,Ready,0,Rajaji Nagar,0,1,1,Premium,Tier 1,3,1.0,0,5.081404364984463,6.566672429803241,Unknown,5469,Large
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2.0,1000.0,7000.0,500.0,Ready,0,Sanjay nagar,1,0,0,Mid-Range,Tier 2,0,1.0,0,4.2626798770413155,6.90875477931522,Unknown,1,Small
Super built-up  Area,18-Dec,Electronic City,2 BHK,Independent,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,500.0,Future,2018,Electronic City,0,0,0,Budget,Tier 3,1,1.0,0,3.3971893602646164,6.90875477931522,Dec,5469,Large
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,Independent,1450,2.0,2.0,70.0,3.0,1450.0,4827.586206896552,483.3333333333333,Ready,0,other,0,0,0,Mid-Range,Tier 3,1,0.6666666666666666,0,4.2626798770413155,7.280008252884188,Unknown,5469,Large
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,Independent,1200,4.0,2.0,155.0,4.0,1200.0,12916.666666666666,300.0,Ready,0,ISRO Layout,0,0,1,Premium,Tier 2,3,1.0,0,5.049856007249537,7.0909098220799835,Unknown,5469,Large
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2.0,1296.0,6172.83950617284,648.0,Future,2017,Thanisandra,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.394449154672439,7.167809184316444,Aug,51,Large
Super built-up  Area,Ready To Move,Domlur,3 BHK,Independent,1540,3.0,2.0,90.0,3.0,1540.0,5844.1558441558445,513.3333333333334,Ready,0,Domlur,0,0,0,Mid-Range,Tier 1,1,1.0,0,4.51085950651685,7.340186835320115,Unknown,5469,Large
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4.0,2894.0,8465.791292328957,723.5,Ready,0,Kengeri,1,0,1,Ultra-Luxury,Tier 3,3,1.0,0,5.5053315359323625,7.970740390007095,Unknown,1,Small
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Independent,1330,2.0,1.0,48.0,3.0,1330.0,3609.0225563909776,443.3333333333333,Ready,0,Sarjapura - Attibele Road,0,0,0,Budget,Tier 3,1,0.6666666666666666,0,3.8918202981106265,7.193685818395112,Unknown,5469,Large
